run_id,customers,subscriptions,selected_customers,affected_customers,tag_transitions,verify,verify_reverse,verify_counts,changed_source_rows,incremental_server_seconds,incremental_profile_count,incremental_job_count,incremental_inputRowCount,incremental_inputBytes,incremental_inputDeltaBytes,incremental_inputDiskBytes,incremental_inputCacheBytes,incremental_outputRowCount,incremental_outputBytes,incremental_spillingBytes,incremental_cpu_wall_seconds,incremental_job_meter_cru,full_server_seconds,full_profile_count,full_job_count,full_inputRowCount,full_inputBytes,full_inputDeltaBytes,full_inputDiskBytes,full_inputCacheBytes,full_outputRowCount,full_outputBytes,full_spillingBytes,full_cpu_wall_seconds,full_job_meter_cru,source_change_server_seconds,source_change_profile_count,source_change_job_count,source_change_inputRowCount,source_change_inputBytes,source_change_inputDeltaBytes,source_change_inputDiskBytes,source_change_inputCacheBytes,source_change_outputRowCount,source_change_outputBytes,source_change_spillingBytes,source_change_cpu_wall_seconds,source_change_job_meter_cru,consumption_server_seconds,consumption_profile_count,consumption_job_count,consumption_inputRowCount,consumption_inputBytes,consumption_inputDeltaBytes,consumption_inputDiskBytes,consumption_inputCacheBytes,consumption_outputRowCount,consumption_outputBytes,consumption_spillingBytes,consumption_cpu_wall_seconds,consumption_job_meter_cru,refresh_modes,last_source_commit_to_tags_seconds,all_statements_ok
measured2_noop_05,100000,150000,100,,0,0,0,100000,0,0.539,5,5,0,0,0,0,0,0,0,0,0.004,0.0,2.229,1,1,455002,280033575,510858,-510858,280544433,100000,387713,1742658,5.765,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,1,1,100000,442965,20582,-20582,463547,1,1248,162,0.09,3e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:NO_DATA;customer_features:NO_DATA;customer_tags:NO_DATA,,True
measured2_payment,100000,150000,100,12,12,0,0,100000,12,4.931,5,5,150,118607397,294344,13691499,104915898,96,41458,68205,3.255,0.000113,1.345,1,1,455002,284813610,523393,-523393,285337003,100000,387704,1743062,3.16,0.00011,1.237,1,1,111211,34763820,0,0,34763820,24,4792570,175184,1.211,4.2e-05,0.233,1,1,100000,448320,22014,-22014,470334,1,1248,162,0.09,3e-06,subscription_features:NO_DATA;billing_features:INCREMENTAL;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,14.168,True
measured2_terminate,100000,150000,100,100,246,0,0,100000,151,4.811,5,5,1660,156838278,639216,15573056,141265222,1102,60292,540748,2.835,9.8e-05,1.542,1,1,455002,354651976,675218,-143118,354795094,100000,388063,1788184,4.645,0.000161,1.709,1,1,150105,148527287,312859,-312859,148840146,307,16039055,15827,3.599,0.000125,0.274,1,1,100000,514753,45539,-45539,560292,1,1248,257,0.109,4e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,13.714,True
scale1m_bootstrap,1000000,1500000,100,,0,0,0,1000000,0,6.465,5,5,7600002,63802551,0,23295280,40507271,8600000,72970493,36863441,12.32,0.00042699999999999997,1.585,1,1,4550002,30955534,0,0,30955534,1000000,2120358,16427593,3.935,0.000137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,1,1,1000000,2683752,0,0,2683752,1,1248,83,0.092,3e-06,subscription_features:INCREMENTAL;billing_features:INCREMENTAL;care_features:INCREMENTAL;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,,True
scale1m_delta_01,1000000,1500000,100,100,164,0,0,1000000,264,4.5920000000000005,5,5,1899,124055643,197346,31850323,92205320,1128,50104,481893,2.768,9.7e-05,1.751,1,1,4550002,94784635,170492,-170492,94955127,1000000,2120355,16541399,4.246,0.000147,4.977,2,2,1124566,45399808,85213,-85213,45485021,528,31999833,7637086,5.813000000000001,0.000201,3.944,1,1,1000000,2697901,11443,-11443,2709344,1,1248,83,0.097,3e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,13.338,True
scale1m_delta_02,1000000,1500000,100,100,162,0,0,1000000,264,5.571,5,5,1899,141652908,253572,31786991,109865917,1128,50055,491851,3.3289999999999997,0.000116,1.1,1,1,4550002,127420082,255770,-255770,127675852,1000000,2120557,16576370,4.767,0.000166,2.727,2,2,843988,79411514,170492,-38750,79450264,528,31999829,5738309,6.244,0.00021700000000000002,0.241,1,1,1000000,2704978,13727,-13727,2718705,1,1248,83,0.084,3e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,15.097,True
scale1m_delta_03,1000000,1500000,100,100,162,0,0,1000000,264,5.0649999999999995,5,5,1899,154531462,309796,31730731,122800731,1128,50069,499278,2.946,0.000102,1.091,1,1,4550002,164905196,341046,-341046,165246242,1000000,2120355,16619235,4.798,0.000167,2.754,2,2,1031814,111326065,255770,-255770,111581835,528,31999830,7008609,6.436,0.000224,0.219,1,1,1000000,2712049,16012,-16012,2728061,1,1248,166,0.091,3e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,14.489,True
scale1m_delta_04,1000000,1500000,100,100,165,0,0,1000000,264,6.130999999999999,5,5,1899,168786332,366023,31674531,137111801,1128,50230,502091,3.07,0.000107,1.476,1,1,4550002,190528292,426324,-426324,190954616,1000000,2120556,16620358,4.844,0.000168,3.1470000000000002,2,2,1219322,141143467,341046,-341046,141484513,528,31999830,8278942,6.7059999999999995,0.000233,0.251,1,1,1000000,2719126,18297,-18297,2737423,1,1248,166,0.107,4e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,15.265,True
scale1m_delta_05,1000000,1500000,100,100,165,0,0,1000000,264,6.771,5,5,1899,184089969,422251,31618479,152471490,1128,50246,505238,3.45,0.00011999999999999999,1.489,1,1,4550002,222639449,511604,-511604,223151053,1000000,2120354,16621185,4.925,0.000171,3.102,2,2,1030633,173058019,426324,-426324,173484343,528,31999829,7003132,6.867,0.000238,0.239,1,1,1000000,2726197,20581,-20581,2746778,1,1248,166,0.103,4e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,16.04,True
scale1m_delta_warmup,1000000,1500000,100,100,165,0,0,1000000,264,6.357,5,5,1899,104925154,127115,45302331,59622823,1128,101352,487354,4.352,0.00015099999999999998,2.448,1,1,4550002,62870081,85213,16338702,46531379,1000000,2120557,16490970,6.446,0.000224,2.057,2,2,464,15582413,0,0,15582413,528,31999760,25876,4.966,0.000173,1.137,1,1,1000000,2690830,9158,-9158,2699988,1,1248,83,0.084,3e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,15.486,True
scale1m_noop,1000000,1500000,100,,0,0,0,1000000,0,0.971,5,5,0,0,0,0,0,0,0,0,0.003,0.0,1.506,1,1,4550002,222442841,511604,-511604,222954445,1000000,2120354,16621046,5.365,0.000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,1,1,1000000,2726197,20581,-20581,2746778,1,1248,166,0.101,4e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:NO_DATA;customer_features:NO_DATA;customer_tags:NO_DATA,,True
